"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"03.01.2022 14:45 - 03.01.2022 15:00","14850","14443"
"03.01.2022 15:00 - 03.01.2022 15:15","14923","14459"
"03.01.2022 15:15 - 03.01.2022 15:30","15014","14571"
"03.01.2022 15:30 - 03.01.2022 15:45","15131","14660"
"03.01.2022 15:45 - 03.01.2022 16:00","15247","14797"
"03.01.2022 16:00 - 03.01.2022 16:15","15321","14788"
"03.01.2022 16:15 - 03.01.2022 16:30","15469","14941"
"03.01.2022 16:30 - 03.01.2022 16:45","15720","15109"
"03.01.2022 16:45 - 03.01.2022 17:00","16095","15468"
"03.01.2022 17:00 - 03.01.2022 17:15","16223","15724"
"03.01.2022 17:15 - 03.01.2022 17:30","16400","16012"
"03.01.2022 17:30 - 03.01.2022 17:45","16440","16098"
"03.01.2022 17:45 - 03.01.2022 18:00","16377","16007"
"03.01.2022 18:00 - 03.01.2022 18:15","16064","15693"
"03.01.2022 18:15 - 03.01.2022 18:30","15846","15385"
"03.01.2022 18:30 - 03.01.2022 18:45","15680","15219"
"03.01.2022 18:45 - 03.01.2022 19:00","15561","15103"
"03.01.2022 19:00 - 03.01.2022 19:15","15387","14914"
"03.01.2022 19:15 - 03.01.2022 19:30","15212","14733"
"03.01.2022 19:30 - 03.01.2022 19:45","15044","14557"
"03.01.2022 19:45 - 03.01.2022 20:00","14918","14471"
"03.01.2022 20:00 - 03.01.2022 20:15","14702","14242"
"03.01.2022 20:15 - 03.01.2022 20:30","14513","14000"
"03.01.2022 20:30 - 03.01.2022 20:45","14310","13832"
"03.01.2022 20:45 - 03.01.2022 21:00","14106","13577"
"03.01.2022 21:00 - 03.01.2022 21:15","13935","13414"
"03.01.2022 21:15 - 03.01.2022 21:30","13812","13284"
"03.01.2022 21:30 - 03.01.2022 21:45","13620","13139"
"03.01.2022 21:45 - 03.01.2022 22:00","13448","12978"
"03.01.2022 22:00 - 03.01.2022 22:15","13221","12728"
"03.01.2022 22:15 - 03.01.2022 22:30","13078","12581"
"03.01.2022 22:30 - 03.01.2022 22:45","12890","12400"
"03.01.2022 22:45 - 03.01.2022 23:00","12649","12192"
"03.01.2022 23:00 - 03.01.2022 23:15","12536","12122"
"03.01.2022 23:15 - 03.01.2022 23:30","12383","11928"
"03.01.2022 23:30 - 03.01.2022 23:45","12155","11720"
"03.01.2022 23:45 - 04.01.2022 00:00","11933","11506"
"04.01.2022 00:00 - 04.01.2022 00:15","11839","11376"
"04.01.2022 00:15 - 04.01.2022 00:30","11729","11248"
"04.01.2022 00:30 - 04.01.2022 00:45","11595","11151"
"04.01.2022 00:45 - 04.01.2022 01:00","11476","11027"
"04.01.2022 01:00 - 04.01.2022 01:15","11365","10998"
"04.01.2022 01:15 - 04.01.2022 01:30","11275","11000"
"04.01.2022 01:30 - 04.01.2022 01:45","11167","10881"
"04.01.2022 01:45 - 04.01.2022 02:00","11095","10830"
"04.01.2022 02:00 - 04.01.2022 02:15","11045","10813"
"04.01.2022 02:15 - 04.01.2022 02:30","10957","10746"
"04.01.2022 02:30 - 04.01.2022 02:45","10938","10681"
"04.01.2022 02:45 - 04.01.2022 03:00","10899","10603"
"04.01.2022 03:00 - 04.01.2022 03:15","10905","10585"
"04.01.2022 03:15 - 04.01.2022 03:30","10902","10590"
"04.01.2022 03:30 - 04.01.2022 03:45","10874","10585"
"04.01.2022 03:45 - 04.01.2022 04:00","10860","10518"
"04.01.2022 04:00 - 04.01.2022 04:15","10888","10556"
"04.01.2022 04:15 - 04.01.2022 04:30","10934","10606"
"04.01.2022 04:30 - 04.01.2022 04:45","10962","10656"
"04.01.2022 04:45 - 04.01.2022 05:00","11021","10729"
"04.01.2022 05:00 - 04.01.2022 05:15","11147","10813"
"04.01.2022 05:15 - 04.01.2022 05:30","11218","10969"
"04.01.2022 05:30 - 04.01.2022 05:45","11397","11098"
"04.01.2022 05:45 - 04.01.2022 06:00","11570","11319"
"04.01.2022 06:00 - 04.01.2022 06:15","11925","11661"
"04.01.2022 06:15 - 04.01.2022 06:30","12240","11890"
"04.01.2022 06:30 - 04.01.2022 06:45","12541","12128"
"04.01.2022 06:45 - 04.01.2022 07:00","12808","12362"
"04.01.2022 07:00 - 04.01.2022 07:15","13276","12795"
"04.01.2022 07:15 - 04.01.2022 07:30","13643","13181"
"04.01.2022 07:30 - 04.01.2022 07:45","14044","13518"
"04.01.2022 07:45 - 04.01.2022 08:00","14441","13846"
"04.01.2022 08:00 - 04.01.2022 08:15","14792","14257"
"04.01.2022 08:15 - 04.01.2022 08:30","15019","14581"
"04.01.2022 08:30 - 04.01.2022 08:45","15202","14804"
"04.01.2022 08:45 - 04.01.2022 09:00","15317","14879"
"04.01.2022 09:00 - 04.01.2022 09:15","15414","15011"
"04.01.2022 09:15 - 04.01.2022 09:30","15454","15183"
"04.01.2022 09:30 - 04.01.2022 09:45","15388","15198"
"04.01.2022 09:45 - 04.01.2022 10:00","15346","15247"
"04.01.2022 10:00 - 04.01.2022 10:15","15192","15187"
"04.01.2022 10:15 - 04.01.2022 10:30","15083","15152"
"04.01.2022 10:30 - 04.01.2022 10:45","14999","15229"
"04.01.2022 10:45 - 04.01.2022 11:00","14920","15203"
"04.01.2022 11:00 - 04.01.2022 11:15","14819","15111"
"04.01.2022 11:15 - 04.01.2022 11:30","14755","15123"
"04.01.2022 11:30 - 04.01.2022 11:45","14721","15162"
"04.01.2022 11:45 - 04.01.2022 12:00","14689","15187"
"04.01.2022 12:00 - 04.01.2022 12:15","14654","15259"
"04.01.2022 12:15 - 04.01.2022 12:30","14560","15263"
"04.01.2022 12:30 - 04.01.2022 12:45","14502","15129"
"04.01.2022 12:45 - 04.01.2022 13:00","14463","15113"
"04.01.2022 13:00 - 04.01.2022 13:15","14499","15119"
"04.01.2022 13:15 - 04.01.2022 13:30","14509","15171"
"04.01.2022 13:30 - 04.01.2022 13:45","14493","15134"
"04.01.2022 13:45 - 04.01.2022 14:00","14501","15128"
"04.01.2022 14:00 - 04.01.2022 14:15","14561","15094"
"04.01.2022 14:15 - 04.01.2022 14:30","14646","15075"
"04.01.2022 14:30 - 04.01.2022 14:45","14729","15056"
"04.01.2022 14:45 - 04.01.2022 15:00","14824","15016"
"04.01.2022 15:00 - 04.01.2022 15:15","14807","15005"
"04.01.2022 15:15 - 04.01.2022 15:30","14957","15041"
"04.01.2022 15:30 - 04.01.2022 15:45","15099","15137"
"04.01.2022 15:45 - 04.01.2022 16:00","15220","15161"
"04.01.2022 16:00 - 04.01.2022 16:15","15309","15145"
"04.01.2022 16:15 - 04.01.2022 16:30","15495","15298"
"04.01.2022 16:30 - 04.01.2022 16:45","15745","15473"
"04.01.2022 16:45 - 04.01.2022 17:00","16109","15843"
"04.01.2022 17:00 - 04.01.2022 17:15","16261","16121"
"04.01.2022 17:15 - 04.01.2022 17:30","16439","16402"
"04.01.2022 17:30 - 04.01.2022 17:45","16485","16460"
"04.01.2022 17:45 - 04.01.2022 18:00","16437","16351"
"04.01.2022 18:00 - 04.01.2022 18:15","16144","15966"
"04.01.2022 18:15 - 04.01.2022 18:30","15912","15678"
"04.01.2022 18:30 - 04.01.2022 18:45","15742","15512"
"04.01.2022 18:45 - 04.01.2022 19:00","15608","15414"
"04.01.2022 19:00 - 04.01.2022 19:15","15389","15250"
"04.01.2022 19:15 - 04.01.2022 19:30","15187","15077"
